TotalEpisodes,Agent Winrate,Player Winrate
100,0.67,0.33
200,0.68,0.32
300,0.67,0.33
400,0.67,0.33
500,0.71,0.29
600,0.62,0.38
100,0.62,0.38
200,0.69,0.31
300,0.53,0.47
400,0.64,0.36
500,0.64,0.36
600,0.68,0.32
700,0.6,0.4
800,0.69,0.31
900,0.65,0.35
1000,0.66,0.34
1100,0.62,0.38
1200,0.68,0.32
1300,0.59,0.41
1400,0.72,0.28
1500,0.73,0.27
1600,0.57,0.43
1700,0.64,0.36
1800,0.59,0.41
1900,0.64,0.36
100,0.72,0.28
200,0.67,0.33
300,0.78,0.22
400,0.6,0.4
500,0.67,0.33
600,0.62,0.38
100,0.68,0.32
200,0.71,0.29
300,0.77,0.23
400,0.67,0.33
500,0.68,0.32
600,0.71,0.29
700,0.65,0.35
800,0.75,0.25
900,0.64,0.36
1000,0.64,0.36
1100,0.7,0.3
1200,0.67,0.33
1300,0.64,0.36
1400,0.63,0.37
1500,0.68,0.32
1600,0.68,0.32
1700,0.71,0.29
1800,0.68,0.32
1900,0.69,0.31
2000,0.62,0.38
2100,0.7,0.3
2200,0.74,0.26
2300,0.72,0.28
2400,0.64,0.36
2500,0.65,0.35
2600,0.68,0.32
2700,0.7,0.3
2800,0.73,0.27
2900,0.67,0.33
3000,0.61,0.39
3100,0.7,0.3
