TotalEpisodes,Agent Winrate,Player Winrate
100,0.57,0.43
200,0.64,0.36
300,0.55,0.45
400,0.58,0.42
500,0.56,0.44
600,0.61,0.39
700,0.68,0.32
800,0.68,0.32
900,0.63,0.37
1000,0.6,0.4
1100,0.71,0.29
1200,0.66,0.34
1300,0.6,0.4
1400,0.66,0.34
1500,0.62,0.38
1600,0.58,0.42
1700,0.67,0.33
1800,0.68,0.32
1900,0.7,0.3
2000,0.59,0.41
2100,0.63,0.37
2200,0.56,0.44
2300,0.73,0.27
2400,0.6,0.4
2500,0.7,0.3
2600,0.76,0.24
2700,0.73,0.27
2800,0.76,0.24
2900,0.68,0.32
3000,0.63,0.37
3100,0.64,0.36
3200,0.65,0.35
3300,0.6,0.4
3400,0.66,0.34
3500,0.64,0.36
3600,0.58,0.42
3700,0.63,0.37
3800,0.76,0.24
3900,0.61,0.39
4000,0.68,0.32
4100,0.66,0.34
4200,0.68,0.32
4300,0.67,0.33
4402,0.61,0.41
4502,0.76,0.24
4602,0.65,0.35
4702,0.69,0.31
4802,0.69,0.31
4902,0.67,0.33
5002,0.62,0.38
5102,0.56,0.44
5202,0.67,0.33
5302,0.68,0.32
5402,0.71,0.29
5502,0.73,0.27
5602,0.64,0.36
5702,0.72,0.28
