TotalEpisodes,Agent Winrate,Player Winrate
100,0.11,0.89
200,0.1,0.9
300,0.07,0.93
400,0.05,0.95
500,0.03,0.97
600,0.06,0.94
700,0.03,0.97
800,0.08,0.92
900,0.02,0.98
1000,0.03,0.97
1100,0.04,0.96
1200,0.05,0.95
1300,0.06,0.94
1400,0.04,0.96
1500,0.04,0.96
1600,0.08,0.92
1700,0.06,0.94
1800,0.04,0.96
1900,0.04,0.96
2000,0.03,0.97
2100,0.07,0.93
2200,0.07,0.93
2300,0.05,0.95
2400,0.02,0.98
2500,0.07,0.93
2600,0.05,0.95
2700,0.03,0.97
2800,0.06,0.94
2900,0.04,0.96
3000,0.07,0.93
3100,0.06,0.94
3200,0.04,0.96
3300,0.06,0.94
3400,0.07,0.93
3500,0.05,0.95
3600,0.06,0.94
3700,0.02,0.98
3800,0.05,0.95
3900,0.05,0.95
4000,0.1,0.9
4100,0.05,0.95
4200,0.08,0.92
4300,0.02,0.98
4400,0.09,0.91
4500,0.04,0.96
4600,0.09,0.91
4700,0.01,0.99
4800,0.06,0.94
4900,0.03,0.97
5000,0.09,0.91
5100,0.09,0.91
5200,0.04,0.96
5300,0.07,0.93
5400,0.01,0.99
5500,0.04,0.96
5600,0.04,0.96
5700,0.05,0.95
5800,0.04,0.96
5900,0.05,0.95
6000,0.08,0.92
6100,0.08,0.92
6200,0.09,0.91
6300,0.05,0.95
6400,0.06,0.94
6500,0.05,0.95
6600,0.06,0.94
6700,0.05,0.95
6800,0.05,0.95
6900,0.06,0.94
7000,0.02,0.98
7100,0.05,0.95
7200,0.02,0.98
7300,0.05,0.95
7400,0.03,0.97
7500,0.06,0.94
7600,0.08,0.92
7700,0.04,0.96
7800,0.03,0.97
7900,0.09,0.91
8000,0.04,0.96
8100,0.03,0.97
8200,0.04,0.96
8300,0.02,0.98
8400,0.03,0.97
8500,0.1,0.9
8600,0.03,0.97
8700,0.07,0.93
8800,0.09,0.91
8900,0.04,0.96
9000,0.07,0.93
9100,0.09,0.91
9200,0.07,0.93
9300,0.05,0.95
9400,0.02,0.98
9500,0.06,0.94
9600,0.06,0.94
9700,0.06,0.94
9800,0.01,0.99
9900,0.03,0.97
10000,0.1,0.9
10100,0.05,0.95
10200,0.06,0.94
10300,0.06,0.94
10400,0.04,0.96
10500,0.05,0.95
10600,0.04,0.96
10700,0.07,0.93
10800,0.07,0.93
10900,0.09,0.91
11000,0.06,0.94
11100,0.05,0.95
11200,0.05,0.95
11300,0.03,0.97
11400,0.04,0.96
11500,0.03,0.97
11600,0.05,0.95
11700,0.04,0.96
11800,0.03,0.97
11900,0.05,0.95
12000,0.03,0.97
