TotalEpisodes,Agent Winrate,Player Winrate
100,0.09,0.91
200,0.04,0.96
300,0.08,0.92
400,0.03,0.97
500,0.03,0.97
600,0.05,0.95
700,0.03,0.97
800,0.05,0.95
900,0.05,0.95
1000,0.06,0.94
1100,0.04,0.96
1200,0.07,0.93
1300,0.05,0.95
1400,0.06,0.94
1500,0.04,0.96
1600,0.03,0.97
1700,0.03,0.97
1800,0.05,0.95
1900,0.02,0.98
2000,0.05,0.95
2100,0.04,0.96
2200,0.1,0.9
2300,0.06,0.94
2400,0.09,0.91
2500,0.05,0.95
2600,0.05,0.95
2700,0.06,0.94
2800,0.05,0.95
2900,0.07,0.93
3000,0.09,0.91
3100,0.01,0.99
3200,0.06,0.94
3300,0.07,0.93
3400,0.06,0.94
3500,0.06,0.94
3600,0.02,0.98
3700,0.04,0.96
3800,0.06,0.94
3900,0.06,0.94
4000,0.06,0.94
4100,0.06,0.94
4200,0.05,0.95
4300,0.06,0.94
4400,0.08,0.92
4500,0.08,0.92
4600,0.05,0.95
4700,0.07,0.93
4800,0.05,0.95
4900,0.05,0.95
5000,0.07,0.93
5100,0.04,0.96
5200,0.07,0.93
5300,0.04,0.96
5400,0.11,0.89
5500,0.11,0.89
5600,0.15,0.85
5700,0.07,0.93
5800,0.15,0.85
5900,0.11,0.89
6000,0.07,0.93
6100,0.1,0.9
6200,0.06,0.94
6300,0.1,0.9
6400,0.13,0.87
6500,0.1,0.9
6600,0.14,0.86
6700,0.12,0.88
6800,0.1,0.9
6900,0.06,0.94
7000,0.15,0.85
7100,0.12,0.88
7200,0.12,0.88
7300,0.18,0.82
7400,0.09,0.91
7500,0.14,0.86
7600,0.11,0.89
7700,0.16,0.84
7800,0.12,0.88
7900,0.14,0.86
8000,0.13,0.87
8100,0.18,0.82
8200,0.12,0.88
8300,0.13,0.87
8400,0.13,0.87
8500,0.16,0.84
8600,0.15,0.85
8700,0.18,0.82
8800,0.15,0.85
8900,0.17,0.83
9000,0.19,0.81
9100,0.22,0.78
9200,0.21,0.79
9300,0.16,0.84
9400,0.13,0.87
9500,0.16,0.84
9600,0.18,0.82
9700,0.18,0.82
9800,0.15,0.85
9900,0.27,0.73
10000,0.19,0.81
10100,0.22,0.78
10200,0.26,0.74
10300,0.2,0.8
10400,0.23,0.77
10500,0.25,0.75
10600,0.23,0.77
10700,0.18,0.82
10800,0.3,0.7
10900,0.21,0.79
11000,0.24,0.76
11100,0.26,0.74
11200,0.23,0.77
11300,0.22,0.78
11400,0.29,0.71
11500,0.28,0.72
11600,0.33,0.67
11700,0.32,0.68
11800,0.32,0.68
11900,0.26,0.74
12000,0.3,0.7
12100,0.29,0.71
12200,0.31,0.69
12300,0.29,0.71
12400,0.33,0.67
12500,0.4,0.6
12600,0.3,0.7
12700,0.29,0.71
12800,0.37,0.63
12900,0.43,0.57
13000,0.36,0.64
13100,0.36,0.64
13200,0.33,0.67
13300,0.41,0.59
13400,0.34,0.66
13500,0.42,0.58
13600,0.35,0.65
13700,0.42,0.58
13800,0.43,0.57
13900,0.43,0.57
14000,0.38,0.62
14100,0.4,0.6
14200,0.38,0.62
14300,0.54,0.46
14400,0.5,0.5
14500,0.49,0.51
14600,0.45,0.55
14700,0.44,0.56
14800,0.48,0.52
14900,0.48,0.52
15000,0.51,0.49
15100,0.57,0.43
15200,0.51,0.49
15300,0.6,0.4
15400,0.59,0.41
15500,0.6,0.4
15600,0.61,0.39
15700,0.51,0.49
15800,0.55,0.45
15900,0.52,0.48
