TotalEpisodes,Agent Winrate,Player Winrate
100,0.07,0.93
200,0.03,0.97
300,0.08,0.92
400,0.06,0.94
500,0.07,0.93
600,0.07,0.93
700,0.11,0.89
800,0.04,0.96
900,0.03,0.97
1000,0.05,0.95
1100,0.06,0.94
1200,0.07,0.93
1300,0.04,0.96
1400,0.06,0.94
1500,0.03,0.97
1600,0.01,0.99
1700,0.05,0.95
1800,0.06,0.94
1900,0.12,0.88
2000,0.05,0.95
2100,0.02,0.98
2200,0.04,0.96
2300,0.04,0.96
2400,0.05,0.95
2500,0.02,0.98
2600,0.07,0.93
2700,0.08,0.92
2800,0.04,0.96
2900,0.07,0.93
3000,0.12,0.88
3100,0.08,0.92
3200,0.08,0.92
3300,0.08,0.92
3400,0.07,0.93
3500,0.07,0.93
3600,0.12,0.88
3700,0.06,0.94
3800,0.06,0.94
3900,0.1,0.9
4000,0.09,0.91
4100,0.06,0.94
4200,0.07,0.93
4300,0.12,0.88
4400,0.09,0.91
4500,0.13,0.87
4600,0.05,0.95
4700,0.11,0.89
4800,0.09,0.91
4900,0.07,0.93
5000,0.04,0.96
5100,0.1,0.9
5200,0.07,0.93
5300,0.07,0.93
5400,0.11,0.89
5500,0.08,0.92
5600,0.09,0.91
5700,0.11,0.89
5800,0.09,0.91
5900,0.12,0.88
6000,0.13,0.87
6100,0.15,0.85
6200,0.11,0.89
6300,0.11,0.89
6400,0.07,0.93
6500,0.11,0.89
6600,0.16,0.84
6700,0.1,0.9
6800,0.14,0.86
6900,0.1,0.9
7000,0.08,0.92
7100,0.11,0.89
7200,0.15,0.85
7300,0.15,0.85
7400,0.15,0.85
7500,0.12,0.88
7600,0.12,0.88
7700,0.14,0.86
7800,0.11,0.89
7900,0.16,0.84
8000,0.2,0.8
8100,0.12,0.88
8200,0.17,0.83
8300,0.11,0.89
8400,0.17,0.83
8500,0.16,0.84
8600,0.12,0.88
8700,0.11,0.89
8800,0.14,0.86
8900,0.18,0.82
9000,0.17,0.83
9100,0.14,0.86
9200,0.17,0.83
9300,0.17,0.83
9400,0.22,0.78
9500,0.16,0.84
9600,0.14,0.86
9700,0.13,0.87
9800,0.2,0.8
9900,0.16,0.84
10000,0.15,0.85
10100,0.23,0.77
10200,0.15,0.85
10300,0.22,0.78
10400,0.2,0.8
10500,0.19,0.81
10600,0.17,0.83
10700,0.17,0.83
10800,0.2,0.8
10900,0.2,0.8
11000,0.24,0.76
11100,0.18,0.82
11200,0.24,0.76
11300,0.19,0.81
11400,0.29,0.71
11500,0.17,0.83
11600,0.19,0.81
11700,0.27,0.73
11800,0.25,0.75
11900,0.26,0.74
12000,0.32,0.68
12100,0.21,0.79
12200,0.19,0.81
12300,0.31,0.69
12400,0.4,0.6
12500,0.21,0.79
12600,0.26,0.74
12700,0.26,0.74
12800,0.34,0.66
12900,0.27,0.73
13000,0.3,0.7
13100,0.28,0.72
13200,0.23,0.77
13300,0.23,0.77
13400,0.25,0.75
13500,0.31,0.69
13600,0.26,0.74
13700,0.37,0.63
13800,0.32,0.68
13900,0.36,0.64
14000,0.28,0.72
14100,0.36,0.64
14200,0.38,0.62
14300,0.3,0.7
14400,0.29,0.71
14500,0.33,0.67
14600,0.32,0.68
14700,0.32,0.68
14800,0.33,0.67
14900,0.38,0.62
15000,0.35,0.65
15100,0.42,0.58
15200,0.3,0.7
15300,0.35,0.65
15400,0.36,0.64
15500,0.32,0.68
15600,0.33,0.67
15700,0.39,0.61
15800,0.37,0.63
15900,0.41,0.59
16000,0.39,0.61
16100,0.38,0.62
