TotalEpisodes,GoodMan,Bandit,
100,0.9,0.1,
200,0.95,0.05,
300,0.95,0.05,
400,0.95,0.05,
500,0.87,0.13,
600,0.92,0.08,
700,0.97,0.03,
800,0.95,0.05,
900,0.96,0.04,
1000,0.98,0.02,
1100,0.96,0.04,
1200,0.94,0.06,
1300,0.94,0.06,
1400,0.93,0.07,
1500,0.95,0.05,
1600,0.97,0.03,
1700,0.93,0.07,
1800,0.9,0.1,
1900,0.94,0.06,
2000,0.94,0.06,
2100,0.95,0.05,
2200,0.92,0.08,
2300,0.94,0.06,
2400,0.96,0.04,
2500,0.94,0.06,
2600,0.95,0.05,
2700,0.92,0.08,
2800,0.9,0.1,
2900,0.96,0.04,
3000,0.91,0.09,
3100,0.95,0.05,
3200,0.95,0.05,
3300,0.95,0.05,
3400,0.91,0.09,
3500,0.91,0.09,
3600,0.95,0.05,
3700,0.9,0.1,
3800,0.92,0.08,
3900,0.94,0.06,
4000,0.9,0.1,
4100,0.96,0.04,
4200,0.87,0.13,
4300,0.92,0.08,
4400,0.93,0.07,
4500,0.87,0.13,
4600,0.87,0.13,
4700,0.9,0.1,
4800,0.93,0.07,
4900,0.88,0.12,
5000,0.9,0.1,
5100,0.9,0.1,
5200,0.93,0.07,
5300,0.85,0.15,
5400,0.87,0.13,
5500,0.84,0.16,
5600,0.85,0.15,
5700,0.89,0.11,
5800,0.82,0.18,
5900,0.89,0.11,
6000,0.82,0.18,
6100,0.81,0.19,
6200,0.86,0.14,
6300,0.87,0.13,
6400,0.88,0.12,
6500,0.88,0.12,
6600,0.81,0.19,
6700,0.85,0.15,
6800,0.86,0.14,
6900,0.79,0.21,
7000,0.84,0.16,
7100,0.79,0.21,
7200,0.81,0.19,
7300,0.71,0.29,
7400,0.79,0.21,
7500,0.78,0.22,
7600,0.8,0.2,
7700,0.81,0.19,
7800,0.72,0.28,
7900,0.7,0.3,
8000,0.71,0.29,
8100,0.69,0.31,
8200,0.64,0.36,
8300,0.65,0.35,
8400,0.57,0.43,
8500,0.59,0.41,
8600,0.47,0.53,
8700,0.62,0.38,
8800,0.41,0.59,
8900,0.33,0.67,
9000,0.16,0.84,
9100,0.21,0.79,
9200,0.24,0.76,
9300,0.31,0.69,
9400,0.17,0.83,
9500,0.23,0.77,
9600,0.16,0.84,
9700,0.17,0.83,
9800,0.18,0.82,
9900,0.08,0.92,
10000,0.13,0.87,
10100,0.06,0.94,
10200,0.14,0.86,
10300,0.09,0.91,
10400,0.15,0.85,
10500,0.07,0.93,
10600,0.1,0.9,
10700,0.07,0.93,
10800,0.14,0.86,
10900,0.07,0.93,
11000,0.07,0.93,
11100,0.07,0.93,
11200,0.1,0.9,
11300,0.08,0.92,
11400,0.15,0.85,
11500,0.12,0.88,
11600,0.1,0.9,
11700,0.07,0.93,
11800,0.1,0.9,
11900,0.11,0.89,
12000,0.1,0.9,
12100,0.09,0.91,
12200,0.08,0.92,
12300,0.06,0.94,
12400,0.07,0.93,
12500,0.11,0.89,
12600,0.05,0.95,
12700,0.04,0.96,
12800,0.03,0.97,
12900,0.09,0.91,
13000,0.07,0.93,
